id,musicname,artist,path,img
80,cvtcvtcvt,zxcused,/,https://zoomer-diaries.ru/wp-content/uploads/2025/04/%D1%80%D0%B5%D0%B4%D0%B0%D0%BD-768x576.jpg
81,shukuchi,zxcursed,/,https://i.pinimg.com/originals/97/b4/98/97b498437fe21e5d0b13aa039e8461f3.jpg
82,1000-7,shadowraze,/,https://i.pinimg.com/736x/52/1e/e8/521ee85800c701e57223e167dc930433.jpg
83,terrorblade,killaheelz,/,https://i.pinimg.com/736x/cd/05/41/cd05418bb1bb08619eefb9f8f2a5d242.jpg
84,supernxva,zxcursed,/,https://i.pinimg.com/736x/d3/56/f8/d356f805819e0aa11d19ec80d658386b.jpg
85,haunt,"zxcursed, mupp",/,https://tse2.mm.bing.net/th/id/OIP.wIsk3HezGk1dCdIgFwC29wHaJX?r=0&w=854&h=1080&rs=1&pid=ImgDetMain&o=7&rm=3
86,fractal horns,"zxcursed, torontokyo",/,https://i.pinimg.com/736x/2e/1e/f6/2e1ef63ebd3ae0e3175929772e7e2935.jpg
87,METAMORPHOSIS 3,"INTERWORLD, zxcursed, Sadfriendd",/,https://i.pinimg.com/736x/7e/39/fb/7e39fbd8bb4813a4afd9720ab9a93295.jpg
88,AVOID MYSELF,"zxcursed, MUPP",/,https://i.pinimg.com/736x/63/71/8f/63718f45dbff9f466dc64837484781ab.jpg
89,tewiq-снайпер,максим саундклауд,/,https://i.pinimg.com/736x/63/71/8f/63718f45dbff9f466dc64837484781ab.jpg
90,Клубняк2010,максим саундклауд,/,https://pin.it/4OcEQISnw
91,PRISIDENT,максим саундклауд,/,https://i.pinimg.com/736x/2a/89/a8/2a89a878e2e268f5b6b52b7b515ba186.jpg
92,shalawa,максим саундклауд,/,https://i.pinimg.com/736x/3d/4a/48/3d4a4809d51558a0bccd3bc71bf675f9.jpg
93,Vlone - Du rove Edition,FACE,/,https://i.pinimg.com/736x/e2/5e/6b/e25e6b5c4a6deebba05278703cf84082.jpg
94,Вам 213 Х,RS3T,/,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTfY-esIvFxnOlv1d6E0QF46bpiSppoHYsIQ&s
95,MY BEST FRIEND IS A PRESIDETN PUTIN,T.I.M.A.T.I.,/,https://i.pinimg.com/736x/aa/14/83/aa1483eb35b3e68ac3c12b242f17a875.jpg
96,Genesis,Grimes,/,https://i.pinimg.com/736x/c4/0f/e4/c40fe4bf617ef39243a4bc101de90923.jpg
97,EVA LONELY (Hardstyle),Azrxel,/,https://i.pinimg.com/1200x/8d/55/62/8d5562b2fcf9fd3624c9ddb480ee3a38.jpg
98,TryToFriend,FORTUNA 812,/,https://i.pinimg.com/736x/48/d8/a3/48d8a324248ac48bb0dc4473b3b02210.jpg
